Town,financial_year,3-Room,4-Room,5-Room
ANG MO KIO,2023,"$388,000 ","$594,000 ","$788,000 "
BEDOK,2023,"$375,000 ","$530,000 ","$695,000 "
BISHAN,2023,*,"$707,000 ","$918,000 "
BUKIT BATOK,2023,"$378,000 ","$593,000 ","$767,500 "
BUKIT MERAH,2023,"$411,500 ","$856,000 ","$959,000 "
BUKIT PANJANG,2023,"$405,000 ","$503,000 ","$620,000 "
BUKIT TIMAH,2023,*,*,*
CENTRAL,2023,"$481,500 ",*,*
CHOA CHU KANG,2023,*,"$508,000 ","$603,000 "
CLEMENTI,2023,"$394,000 ","$561,000 ",*
GEYLANG,2023,"$345,000 ","$615,000 ",*
HOUGANG,2023,"$398,900 ","$560,000 ","$655,000 "
JURONG EAST,2023,"$365,000 ","$497,500 ","$628,000 "
JURONG WEST,2023,"$365,000 ","$490,000 ","$588,000 "
KALLANG/WHAMPOA,2023,"$384,500 ","$830,000 ","$880,400 "
MARINE PARADE,2023,*,*,*
PASIR RIS,2023,*,"$555,000 ","$663,000 "
PUNGGOL,2023,"$475,000 ","$605,000 ","$670,000 "
QUEENSTOWN,2023,"$401,000 ","$928,000 ",*
SEMBAWANG,2023,"$440,000 ","$551,000 ","$602,900 "
SENGKANG,2023,"$470,000 ","$575,000 ","$610,000 "
SERANGOON,2023,"$390,000 ","$600,000 ",*
TAMPINES,2023,"$430,000 ","$579,000 ","$685,000 "
TOA PAYOH,2023,"$370,000 ","$750,000 ","$881,900 "
WOODLANDS,2023,"$395,500 ","$515,000 ","$598,500 "
YISHUN,2023,"$400,000 ","$520,000 ","$660,000 "
ANG MO KIO,2023,"$385,000 ","$538,000 ","$725,500 "
BEDOK,2023,"$370,000 ","$523,000 ","$684,000 "
BISHAN,2023,*,"$715,000 ","$929,000 "
BUKIT BATOK,2023,"$385,000 ","$595,000 ","$758,000 "
BUKIT MERAH,2023,"$439,500 ","$860,000 ","$928,000 "
BUKIT PANJANG,2023,"$400,000 ","$508,000 ","$615,000 "
BUKIT TIMAH,2023,*,*,*
CENTRAL,2023,"$470,000 ",*,*
CHOA CHU KANG,2023,"$391,500 ","$500,000 ","$579,000 "
CLEMENTI,2023,"$397,500 ","$607,400 ",*
GEYLANG,2023,"$330,000 ","$610,000 ","$750,000 "
HOUGANG,2023,"$390,000 ","$532,500 ","$690,000 "
JURONG EAST,2023,"$380,000 ","$473,000 ","$625,000 "
JURONG WEST,2023,"$360,000 ","$500,000 ","$580,000 "
KALLANG/WHAMPOA,2023,"$385,000 ","$790,400 ","$907,900 "
MARINE PARADE,2023,*,*,*
PASIR RIS,2023,*,"$554,000 ","$658,000 "
PUNGGOL,2023,"$470,000 ","$600,000 ","$677,500 "
QUEENSTOWN,2023,"$389,400 ","$928,000 ",*
SEMBAWANG,2023,"$447,500 ","$556,900 ","$580,000 "
SENGKANG,2023,"$465,000 ","$558,000 ","$630,000 "
SERANGOON,2023,"$420,000 ","$575,000 ","$731,500 "
TAMPINES,2023,"$420,000 ","$569,000 ","$678,000 "
TOA PAYOH,2023,"$350,000 ","$780,000 ","$900,000 "
WOODLANDS,2023,"$374,000 ","$498,000 ","$590,000 "
YISHUN,2023,"$385,000 ","$500,000 ","$650,000 "
ANG MO KIO,2023,"$380,400 ","$520,000 ","$697,500 "
BEDOK,2023,"$367,000 ","$518,000 ","$684,000 "
BISHAN,2023,*,"$690,000 ","$880,000 "
BUKIT BATOK,2023,"$385,000 ","$590,000 ","$758,000 "
BUKIT MERAH,2023,"$455,000 ","$838,000 ","$875,400 "
BUKIT PANJANG,2023,"$388,000 ","$493,000 ","$608,500 "
BUKIT TIMAH,2023,*,*,*
CENTRAL,2023,*,"$894,000 ",*
CHOA CHU KANG,2023,*,"$495,000 ","$603,000 "
CLEMENTI,2023,"$390,400 ","$597,500 ",*
GEYLANG,2023,"$332,500 ","$668,000 ",*
HOUGANG,2023,"$382,900 ","$525,000 ","$670,000 "
JURONG EAST,2023,"$365,000 ","$492,000 ",*
JURONG WEST,2023,"$345,000 ","$476,000 ","$589,000 "
KALLANG/WHAMPOA,2023,"$383,000 ","$778,900 ","$865,000 "
MARINE PARADE,2023,"$425,000 ",*,*
PASIR RIS,2023,*,"$540,000 ","$650,000 "
PUNGGOL,2023,"$450,000 ","$590,000 ","$681,500 "
QUEENSTOWN,2023,"$420,000 ","$850,000 ",*
SEMBAWANG,2023,"$440,000 ","$556,900 ","$625,000 "
SENGKANG,2023,"$458,000 ","$560,000 ","$620,000 "
SERANGOON,2023,"$383,000 ","$559,000 ",*
TAMPINES,2023,"$428,000 ","$564,000 ","$689,000 "
TOA PAYOH,2023,"$356,000 ","$715,000 ","$859,000 "
WOODLANDS,2023,"$372,000 ","$490,000 ","$588,000 "
YISHUN,2023,"$380,900 ","$491,500 ","$640,000 "
ANG MO KIO,2023,"$380,000 ","$605,900 ","$785,000 "
BEDOK,2023,"$365,000 ","$486,000 ","$660,000 "
BISHAN,2023,*,"$677,500 ","$900,000 "
BUKIT BATOK,2023,"$370,000 ","$597,500 ","$771,500 "
BUKIT MERAH,2023,"$396,000 ","$813,900 ","$870,000 "
BUKIT PANJANG,2023,"$380,000 ","$492,500 ","$620,000 "
BUKIT TIMAH,2023,*,*,-
CENTRAL,2023,"$450,000 ","$728,000 ",*
CHOA CHU KANG,2023,"$415,000 ","$490,000 ","$580,000 "
CLEMENTI,2023,"$418,000 ","$648,000 ","$746,500 "
GEYLANG,2023,"$344,400 ","$549,000 ",*
HOUGANG,2023,"$385,000 ","$518,000 ","$665,900 "
JURONG EAST,2023,"$369,000 ","$470,000 ","$650,000 "
JURONG WEST,2023,"$339,000 ","$478,000 ","$578,900 "
KALLANG/WHAMPOA,2023,"$380,000 ","$735,000 ","$805,000 "
MARINE PARADE,2023,"$438,000 ",*,*
PASIR RIS,2023,*,"$535,000 ","$643,000 "
PUNGGOL,2023,"$450,000 ","$582,900 ","$666,000 "
QUEENSTOWN,2023,"$403,200 ","$864,000 ",*
SEMBAWANG,2023,"$435,800 ","$524,000 ","$578,000 "
SENGKANG,2023,"$437,500 ","$560,000 ","$600,000 "
SERANGOON,2023,"$395,000 ","$577,000 ",*
TAMPINES,2023,"$414,400 ","$555,000 ","$666,500 "
TOA PAYOH,2023,"$358,000 ","$779,000 ","$897,500 "
WOODLANDS,2023,"$395,000 ","$485,000 ","$583,000 "
YISHUN,2023,"$380,000 ","$480,000 ","$630,000 "
ANG MO KIO,2022,"$378,000 ","$555,000 ","$868,000 "
BEDOK,2022,"$360,000 ","$480,000 ","$650,000 "
BISHAN,2022,*,"$669,400 ","$877,500 "
BUKIT BATOK,2022,"$360,000 ","$514,000 ","$700,000 "
BUKIT MERAH,2022,"$400,000 ","$775,400 ","$899,000 "
BUKIT PANJANG,2022,"$375,000 ","$480,000 ","$590,000 "
BUKIT TIMAH,2022,*,*,*
CENTRAL,2022,"$450,000 ",*,*
CHOA CHU KANG,2022,"$389,500 ","$500,000 ","$588,000 "
CLEMENTI,2022,"$378,000 ","$574,900 ",*
GEYLANG,2022,"$335,000 ","$576,500 ","$781,500 "
HOUGANG,2022,"$380,000 ","$518,000 ","$627,500 "
JURONG EAST,2022,"$360,000 ","$465,000 ","$643,000 "
JURONG WEST,2022,"$358,900 ","$481,500 ","$566,000 "
KALLANG/WHAMPOA,2022,"$380,000 ","$788,000 ","$800,000 "
MARINE PARADE,2022,"$430,000 ",*,*
PASIR RIS,2022,*,"$520,000 ","$641,000 "
PUNGGOL,2022,"$451,000 ","$575,900 ","$700,000 "
QUEENSTOWN,2022,"$390,000 ","$870,000 ",*
SEMBAWANG,2022,"$432,500 ","$535,000 ","$579,000 "
SENGKANG,2022,"$443,400 ","$548,000 ","$580,000 "
SERANGOON,2022,"$386,500 ","$539,000 ",*
TAMPINES,2022,"$410,000 ","$536,500 ","$652,500 "
TOA PAYOH,2022,"$340,000 ","$780,000 ","$865,000 "
WOODLANDS,2022,"$395,000 ","$495,000 ","$580,000 "
YISHUN,2022,"$372,000 ","$474,000 ","$620,000 "
ANG MO KIO,2022,"$365,500 ","$516,500 ","$800,000 "
BEDOK,2022,"$355,000 ","$475,000 ","$680,000 "
BISHAN,2022,*,"$640,000 ","$855,000 "
BUKIT BATOK,2022,"$353,000 ","$500,000 ","$720,000 "
BUKIT MERAH,2022,"$368,000 ","$765,000 ","$875,000 "
BUKIT PANJANG,2022,"$386,500 ","$471,900 ","$610,000 "
BUKIT TIMAH,2022,*,*,*
CENTRAL,2022,"$460,000 ","$680,000 ",*
CHOA CHU KANG,2022,"$380,000 ","$493,900 ","$588,000 "
CLEMENTI,2022,"$385,000 ","$555,000 ",*
GEYLANG,2022,"$320,000 ","$560,000 ","$738,900 "
HOUGANG,2022,"$370,000 ","$506,000 ","$648,400 "
JURONG EAST,2022,"$355,000 ","$460,000 ","$619,000 "
JURONG WEST,2022,"$339,000 ","$475,000 ","$565,000 "
KALLANG/WHAMPOA,2022,"$390,000 ","$778,400 ","$840,000 "
MARINE PARADE,2022,"$412,500 ",*,*
PASIR RIS,2022,*,"$519,000 ","$619,000 "
PUNGGOL,2022,"$436,900 ","$555,000 ","$612,000 "
QUEENSTOWN,2022,"$395,000 ","$860,000 ","$894,000 "
SEMBAWANG,2022,*,"$515,000 ","$566,000 "
SENGKANG,2022,"$438,000 ","$536,000 ","$595,400 "
SERANGOON,2022,"$380,000 ","$520,900 ",*
TAMPINES,2022,"$395,000 ","$530,000 ","$650,000 "
TOA PAYOH,2022,"$341,400 ","$740,000 ","$870,000 "
WOODLANDS,2022,"$345,000 ","$468,000 ","$560,000 "
YISHUN,2022,"$362,000 ","$473,000 ","$608,000 "
ANG MO KIO,2022,"$365,000 ","$515,000 ","$785,000 "
BEDOK,2022,"$345,000 ","$465,000 ","$643,000 "
BISHAN,2022,"$432,500 ","$605,000 ","$851,000 "
BUKIT BATOK,2022,"$345,000 ","$495,000 ","$790,000 "
BUKIT MERAH,2022,"$370,400 ","$751,000 ","$866,000 "
BUKIT PANJANG,2022,"$357,000 ","$475,000 ","$584,500 "
BUKIT TIMAH,2022,*,*,*
CENTRAL,2022,*,"$964,000 ",*
CHOA CHU KANG,2022,"$400,000 ","$485,000 ","$571,000 "
CLEMENTI,2022,"$369,500 ","$732,500 ","$900,000 "
GEYLANG,2022,"$340,000 ","$570,000 ",*
HOUGANG,2022,"$365,000 ","$495,000 ","$608,800 "
JURONG EAST,2022,"$351,500 ","$490,000 ","$647,500 "
JURONG WEST,2022,"$340,000 ","$469,000 ","$550,000 "
KALLANG/WHAMPOA,2022,"$372,500 ","$780,000 ","$836,500 "
MARINE PARADE,2022,"$418,000 ",*,*
PASIR RIS,2022,*,"$500,000 ","$600,000 "
PUNGGOL,2022,"$436,000 ","$550,000 ","$580,000 "
QUEENSTOWN,2022,"$385,000 ","$829,000 ","$875,000 "
SEMBAWANG,2022,*,"$472,500 ","$545,000 "
SENGKANG,2022,"$425,000 ","$512,500 ","$580,000 "
SERANGOON,2022,*,"$526,500 ",*
TAMPINES,2022,"$390,000 ","$510,000 ","$625,500 "
TOA PAYOH,2022,"$320,000 ","$700,900 ","$784,000 "
WOODLANDS,2022,"$337,000 ","$450,000 ","$545,000 "
YISHUN,2022,"$360,000 ","$470,000 ","$622,000 "
ANG MO KIO,2022,"$350,000 ","$475,000 ","$702,500 "
BEDOK,2022,"$335,000 ","$450,000 ","$640,000 "
BISHAN,2022,*,"$629,000 ","$810,000 "
BUKIT BATOK,2022,"$345,000 ","$480,000 ","$650,000 "
BUKIT MERAH,2022,"$402,500 ","$750,000 ","$840,000 "
BUKIT PANJANG,2022,"$354,000 ","$455,000 ","$564,500 "
BUKIT TIMAH,2022,*,*,*
CENTRAL,2022,"$430,000 ","$811,000 ",*
CHOA CHU KANG,2022,"$391,500 ","$470,000 ","$567,400 "
CLEMENTI,2022,"$380,000 ","$703,000 ","$818,000 "
GEYLANG,2022,"$301,000 ","$530,000 ","$856,500 "
HOUGANG,2022,"$350,000 ","$487,000 ","$586,000 "
JURONG EAST,2022,"$339,000 ","$450,000 ","$567,500 "
JURONG WEST,2022,"$330,000 ","$440,000 ","$538,900 "
KALLANG/WHAMPOA,2022,"$360,000 ","$755,000 ","$784,400 "
MARINE PARADE,2022,*,*,*
PASIR RIS,2022,*,"$490,000 ","$600,000 "
PUNGGOL,2022,"$411,000 ","$520,000 ","$600,000 "
QUEENSTOWN,2022,"$360,000 ","$820,000 ","$952,000 "
SEMBAWANG,2022,*,"$466,500 ","$534,400 "
SENGKANG,2022,"$406,000 ","$510,000 ","$560,000 "
SERANGOON,2022,"$366,500 ","$492,500 ","$658,000 "
TAMPINES,2022,"$380,000 ","$498,000 ","$615,000 "
TOA PAYOH,2022,"$320,000 ","$622,500 ","$875,000 "
WOODLANDS,2022,"$341,500 ","$450,000 ","$530,000 "
YISHUN,2022,"$360,000 ","$450,000 ","$582,500 "
ANG MO KIO,2021,"$340,000 ","$480,000 ","$655,000 "
BEDOK,2021,"$330,000 ","$455,900 ","$645,000 "
BISHAN,2021,*,"$600,000 ","$804,000 "
BUKIT BATOK,2021,"$335,000 ","$468,000 ","$634,800 "
BUKIT MERAH,2021,"$371,800 ","$766,500 ","$828,000 "
BUKIT PANJANG,2021,"$360,000 ","$460,000 ","$555,000 "
BUKIT TIMAH,2021,*,*,*
CENTRAL,2021,"$465,000 ","$972,500 ",*
CHOA CHU KANG,2021,"$380,000 ","$472,500 ","$552,500 "
CLEMENTI,2021,"$370,500 ","$728,000 ","$656,500 "
GEYLANG,2021,"$293,900 ","$630,000 ","$720,000 "
HOUGANG,2021,"$340,000 ","$471,000 ","$585,000 "
JURONG EAST,2021,"$346,000 ","$450,000 ","$640,000 "
JURONG WEST,2021,"$333,900 ","$457,000 ","$530,000 "
KALLANG/WHAMPOA,2021,"$377,500 ","$690,000 ","$804,000 "
MARINE PARADE,2021,"$384,000 ",*,*
PASIR RIS,2021,*,"$480,000 ","$580,000 "
PUNGGOL,2021,"$409,000 ","$515,500 ","$621,900 "
QUEENSTOWN,2021,"$360,000 ","$779,000 ","$935,000 "
SEMBAWANG,2021,*,"$439,000 ","$501,500 "
SENGKANG,2021,"$398,000 ","$492,000 ","$540,500 "
SERANGOON,2021,"$360,000 ","$491,900 ","$626,800 "
TAMPINES,2021,"$370,000 ","$488,000 ","$589,000 "
TOA PAYOH,2021,"$309,000 ","$630,900 ","$894,900 "
WOODLANDS,2021,"$335,000 ","$430,000 ","$505,000 "
YISHUN,2021,"$345,000 ","$450,000 ","$580,000 "
ANG MO KIO,2021,"$330,000 ","$458,000 ","$655,000 "
